================================================================================
VFH-QL Training Log
Started: 20260222_020022
Target: (-0.6, 1.8)
Hyperparameters: α=0.1, γ=0.95, ε_decay=0.999
================================================================================

Episode,Steps,Reward,Success,Collision,Timeout,Epsilon,Alpha,Fwd,Left,Right
1,1,-251.00,0,1,0,1.0000,0.1000,0.0,0.0,100.0
2,89,-285.25,0,1,0,0.9990,0.1000,39.3,34.8,25.8
3,21,-245.12,0,1,0,0.9980,0.0999,42.9,23.8,33.3
4,28,-254.59,0,1,0,0.9970,0.0999,32.1,42.9,25.0
5,24,-240.66,0,1,0,0.9960,0.0998,45.8,29.2,25.0
6,22,-244.91,0,1,0,0.9950,0.0998,36.4,22.7,40.9
7,0,-250.00,0,1,0,0.9940,0.0997,0.0,0.0,0.0
8,0,-250.00,0,1,0,0.9930,0.0997,0.0,0.0,0.0
9,0,-250.00,0,1,0,0.9920,0.0996,0.0,0.0,0.0
10,114,-308.25,0,1,0,0.9910,0.0996,28.1,37.7,34.2
